,country,year,sex,age,suicides_no,population
437,Anguilla,1988,female,75+ years,0.0,
438,Anguilla,1988,male,15-24 years,0.0,
439,Anguilla,1988,male,25-34 years,0.0,
440,Anguilla,1988,male,35-54 years,0.0,
441,Anguilla,1988,male,5-14 years,0.0,
442,Anguilla,1988,male,55-74 years,0.0,
443,Anguilla,1988,male,75+ years,0.0,
444,Anguilla,1989,female,15-24 years,0.0,
445,Anguilla,1989,female,25-34 years,0.0,
446,Anguilla,1989,female,35-54 years,0.0,
447,Anguilla,1989,female,5-14 years,0.0,
448,Anguilla,1989,female,55-74 years,0.0,
449,Anguilla,1989,female,75+ years,0.0,
450,Anguilla,1989,male,15-24 years,0.0,
451,Anguilla,1989,male,25-34 years,0.0,
452,Anguilla,1989,male,35-54 years,0.0,
453,Anguilla,1989,male,5-14 years,0.0,
454,Anguilla,1989,male,55-74 years,0.0,
455,Anguilla,1989,male,75+ years,0.0,
456,Anguilla,1990,female,15-24 years,0.0,
457,Anguilla,1990,female,25-34 years,0.0,
458,Anguilla,1990,female,35-54 years,0.0,
459,Anguilla,1990,female,5-14 years,0.0,
460,Anguilla,1990,female,55-74 years,0.0,
461,Anguilla,1990,female,75+ years,0.0,
462,Anguilla,1990,male,15-24 years,0.0,
463,Anguilla,1990,male,25-34 years,0.0,
464,Anguilla,1990,male,35-54 years,0.0,
465,Anguilla,1990,male,5-14 years,0.0,
466,Anguilla,1990,male,55-74 years,0.0,
467,Anguilla,1990,male,75+ years,0.0,
468,Anguilla,1991,female,15-24 years,0.0,
469,Anguilla,1991,female,25-34 years,0.0,
470,Anguilla,1991,female,35-54 years,0.0,
471,Anguilla,1991,female,5-14 years,0.0,
472,Anguilla,1991,female,55-74 years,0.0,
473,Anguilla,1991,female,75+ years,0.0,
474,Anguilla,1991,male,15-24 years,0.0,
475,Anguilla,1991,male,25-34 years,0.0,
476,Anguilla,1991,male,35-54 years,0.0,
477,Anguilla,1991,male,5-14 years,0.0,
478,Anguilla,1991,male,55-74 years,0.0,
479,Anguilla,1991,male,75+ years,0.0,
480,Anguilla,1992,female,15-24 years,0.0,
481,Anguilla,1992,female,25-34 years,0.0,
482,Anguilla,1992,female,35-54 years,0.0,
483,Anguilla,1992,female,5-14 years,0.0,
484,Anguilla,1992,female,55-74 years,0.0,
485,Anguilla,1992,female,75+ years,0.0,
486,Anguilla,1992,male,15-24 years,0.0,
487,Anguilla,1992,male,25-34 years,0.0,
488,Anguilla,1992,male,35-54 years,0.0,
489,Anguilla,1992,male,5-14 years,0.0,
490,Anguilla,1992,male,55-74 years,0.0,
491,Anguilla,1992,male,75+ years,0.0,
492,Anguilla,1993,female,15-24 years,0.0,
493,Anguilla,1993,female,25-34 years,0.0,
494,Anguilla,1993,female,35-54 years,0.0,
495,Anguilla,1993,female,5-14 years,0.0,
496,Anguilla,1993,female,55-74 years,0.0,
497,Anguilla,1993,female,75+ years,0.0,
498,Anguilla,1993,male,15-24 years,0.0,
499,Anguilla,1993,male,25-34 years,0.0,
500,Anguilla,1993,male,35-54 years,0.0,
501,Anguilla,1993,male,5-14 years,0.0,
502,Anguilla,1993,male,55-74 years,0.0,
503,Anguilla,1993,male,75+ years,0.0,
504,Anguilla,1994,female,15-24 years,0.0,
505,Anguilla,1994,female,25-34 years,0.0,
506,Anguilla,1994,female,35-54 years,0.0,
507,Anguilla,1994,female,5-14 years,0.0,
508,Anguilla,1994,female,55-74 years,0.0,
509,Anguilla,1994,female,75+ years,0.0,
510,Anguilla,1994,male,15-24 years,0.0,
511,Anguilla,1994,male,25-34 years,0.0,
512,Anguilla,1994,male,35-54 years,0.0,
513,Anguilla,1994,male,5-14 years,0.0,
514,Anguilla,1994,male,55-74 years,0.0,
515,Anguilla,1994,male,75+ years,0.0,
516,Anguilla,1995,female,15-24 years,0.0,
517,Anguilla,1995,female,25-34 years,0.0,
518,Anguilla,1995,female,35-54 years,0.0,
519,Anguilla,1995,female,5-14 years,0.0,
520,Anguilla,1995,female,55-74 years,0.0,
521,Anguilla,1995,female,75+ years,0.0,
522,Anguilla,1995,male,15-24 years,0.0,
523,Anguilla,1995,male,25-34 years,0.0,
524,Anguilla,1995,male,35-54 years,0.0,
525,Anguilla,1995,male,5-14 years,0.0,
526,Anguilla,1995,male,55-74 years,0.0,
527,Anguilla,1995,male,75+ years,0.0,
528,Anguilla,2000,female,15-24 years,0.0,
529,Anguilla,2000,female,25-34 years,0.0,
530,Anguilla,2000,female,35-54 years,0.0,
531,Anguilla,2000,female,5-14 years,0.0,
532,Anguilla,2000,female,55-74 years,0.0,
533,Anguilla,2000,female,75+ years,0.0,
534,Anguilla,2000,male,15-24 years,0.0,
535,Anguilla,2000,male,25-34 years,0.0,
536,Anguilla,2000,male,35-54 years,0.0,
537,Anguilla,2000,male,5-14 years,0.0,
538,Anguilla,2000,male,55-74 years,0.0,
539,Anguilla,2000,male,75+ years,0.0,
540,Anguilla,2001,female,15-24 years,0.0,
541,Anguilla,2001,female,25-34 years,0.0,
542,Anguilla,2001,female,35-54 years,0.0,
543,Anguilla,2001,female,5-14 years,0.0,
544,Anguilla,2001,female,55-74 years,0.0,
545,Anguilla,2001,female,75+ years,0.0,
546,Anguilla,2001,male,15-24 years,0.0,
547,Anguilla,2001,male,25-34 years,0.0,
548,Anguilla,2001,male,35-54 years,0.0,
549,Anguilla,2001,male,5-14 years,0.0,
550,Anguilla,2001,male,55-74 years,0.0,
551,Anguilla,2001,male,75+ years,0.0,
552,Anguilla,2002,female,15-24 years,0.0,
553,Anguilla,2002,female,25-34 years,0.0,
554,Anguilla,2002,female,35-54 years,0.0,
555,Anguilla,2002,female,5-14 years,0.0,
556,Anguilla,2002,female,55-74 years,0.0,
557,Anguilla,2002,female,75+ years,0.0,
558,Anguilla,2002,male,15-24 years,0.0,
559,Anguilla,2002,male,25-34 years,0.0,
560,Anguilla,2002,male,35-54 years,1.0,
561,Anguilla,2002,male,5-14 years,0.0,
562,Anguilla,2002,male,55-74 years,0.0,
563,Anguilla,2002,male,75+ years,0.0,
564,Anguilla,2003,female,15-24 years,0.0,
